item	layer	value
GC_00003370	SC_ERR998665_Angola_1995	0
GC_00003370	SC_GCA_0001764351_Mexico_1991	0
GC_00003370	SC_SRR227318_Mexico_2008	1
GC_00003370	SC_SRR227336_Peru_1991	1
GC_00003370	SC_SRR350623_Mexico_2000	0
GC_00003370	SC_SRR491161_Brazil_1992	1
GC_00003339	IB_GCA_0002377852_Peru_1991	1
GC_00003339	IB_GCA_0003047551_Mexico_2000	0
GC_00003339	IB_GCA_0018574351_Peru_1997	1
GC_00003339	IB_GCA_0028928551_USA_1992	1
GC_00003339	IB_GCA_0029972151_Peru_1992	1
GC_00003339	IB_GCA_0030976951_USA_1992	1
GC_00003339	IB_GCA_0041205651_Brazil_1994	1
GC_00003339	IB_GCA_0041206851_Brazil_1994	1
GC_00003339	IB_GCA_0041216851_Brazil_1994	1
GC_00003339	IB_GCA_0041216951_Brazil_1992	1
GC_00003339	IB_GCA_0041217351_Brazil_1994	1
GC_00003339	IB_GCA_0041217951_Brazil_1992	1
GC_00003339	IB_GCA_0041218051_Brazil_1993	1
GC_00003339	IB_GCA_0041218151_Brazil_1994	1
GC_00003339	IB_GCA_0041218351_Brazil_1994	1
GC_00003339	IB_GCA_0041218751_Brazil_1994	1
GC_00003339	IB_GCA_0041218951_Brazil_1991	1
GC_00003339	IB_GCA_0041219051_Brazil_1992	1
GC_00003339	IB_GCA_0041219151_Brazil_1992	1
GC_00003339	IB_GCA_0041219451_Brazil_1993	1
GC_00003339	IB_GCA_0041219651_Brazil_1994	1
GC_00003339	IB_GCA_0041220051_Brazil_1993	1
GC_00003339	IB_GCA_0041220151_Brazil_1994	1
GC_00003339	IB_GCA_0041220251_Brazil_1991	1
GC_00003339	IB_GCA_0041232051_Brazil_1993	1
GC_00003339	IB_GCA_0041232151_Brazil_1993	1
GC_00003339	IB_GCA_0041232251_Brazil_1992	1
GC_00003339	IB_GCA_0097282251_Russia_1987	0
GC_00003339	IB_GCA_0130850751_Peru_1991	1
GC_00003339	IB_GCA_0130851051_Peru_1991	1
GC_00003339	IB_GCA_0154828251_Peru_1991	1
GC_00003339	IB_GCA_0157543751_Bangladesh_1983	0
GC_00003339	IB_GCA_0157547451_Bangladesh_1993	0
GC_00003339	IB_GCA_0157548351_Japan_1980	0
GC_00003339	IB_GCA_0157549051_Japan_1980	0
GC_00003339	Reference	1
GC_00003339	SA_INS1T0055A96_Peru_1996	1
GC_00003339	SA_INS1T0056A96_Peru_1996	1
GC_00003339	SA_INS1T0057A96_Peru_1996	1
GC_00003339	SA_INS1T0143A96_Peru_1996	1
GC_00003339	SA_INS1T0207A92_Peru_1991	1
GC_00003339	SA_INS1T074A94_Peru_1994	1
GC_00003339	SA_INS1T081A94_Peru_1994	1
GC_00003339	SA_INS1T093A94_Peru_1994	1
GC_00003339	SA_INS1T094A94_Peru_1994	1
GC_00003339	SA_INS1T112A13_Peru_2013	1
GC_00003339	SA_INS1T120A93_Peru_1992	1
